sequence,date,event,event1,event2,date_formatted
73,2008-02-02,UFC 81: Breaking Point,UFC 81: Breaking Point,,"February 02, 2008"
74,2008-03-01,UFC 82: Pride of a Champion,UFC 82: Pride of a Champion,,"March 01, 2008"
75,2008-04-02,UFC Fight Night: Florian vs. Lauzon,UFC Fight Night: Florian vs. Lauzon,,"April 02, 2008"
76,2008-04-19,UFC 83: Serra vs. St-Pierre 2,UFC 83: Serra vs. St-Pierre 2,,"April 19, 2008"
77,2008-05-24,UFC 84: Ill Will,UFC 84: Ill Will,,"May 24, 2008"
78,2008-06-07,UFC 85: Bedlam,UFC 85: Bedlam,,"June 07, 2008"
79,2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,,"June 21, 2008"
80,2008-07-05,UFC 86: Jackson vs. Griffin,UFC 86: Jackson vs. Griffin,,"July 05, 2008"
81,2008-07-19,UFC Fight Night: Silva vs. Irvin,UFC Fight Night: Silva vs. Irvin,,"July 19, 2008"
82,2008-08-09,UFC 87: Seek and Destroy,UFC 87: Seek and Destroy,,"August 09, 2008"
83,2008-09-06,UFC 88: Breakthrough,UFC 88: Breakthrough,,"September 06, 2008"
84,2008-09-17,UFC Fight Night: Diaz vs. Neer,UFC Fight Night: Diaz vs. Neer,,"September 17, 2008"
85,2008-10-18,UFC 89: Bisping vs. Leben,UFC 89: Bisping vs. Leben,,"October 18, 2008"
86,2008-10-25,UFC 90: Silva vs. Côté,UFC 90: Silva vs. Côté,,"October 25, 2008"
87,2008-11-15,UFC 91: Couture vs. Lesnar,UFC 91: Couture vs. Lesnar,,"November 15, 2008"
88,2008-12-10,UFC: Fight for the Troops,UFC: Fight for the Troops,,"December 10, 2008"
89,2008-12-13,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,,"December 13, 2008"
90,2008-12-27,UFC 92: The Ultimate 2008,UFC 92: The Ultimate 2008,,"December 27, 2008"
91,2009-01-17,UFC 93: Franklin vs. Henderson,UFC 93: Franklin vs. Henderson,,"January 17, 2009"
92,2009-01-31,UFC 94: St-Pierre vs. Penn 2,UFC 94: St-Pierre vs. Penn 2,,"January 31, 2009"
93,2009-02-07,UFC Fight Night: Lauzon vs. Stephens,UFC Fight Night: Lauzon vs. Stephens,,"February 07, 2009"
94,2009-02-21,UFC 95: Sanchez vs. Stevenson,UFC 95: Sanchez vs. Stevenson,,"February 21, 2009"
95,2009-03-07,UFC 96: Jackson vs. Jardine,UFC 96: Jackson vs. Jardine,,"March 07, 2009"
96,2009-04-01,UFC Fight Night: Condit vs. Kampmann,UFC Fight Night: Condit vs. Kampmann,,"April 01, 2009"
97,2009-04-18,UFC 97: Redemption,UFC 97: Redemption,,"April 18, 2009"
98,2009-05-23,UFC 98: Evans vs. Machida,UFC 98: Evans vs. Machida,,"May 23, 2009"
99,2009-06-13,UFC 99: The Comeback,UFC 99: The Comeback,,"June 13, 2009"
100,2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,The Ultimate Fighter: United States vs. United Kingdom Finale,,"June 20, 2009"
101,2009-07-11,UFC 100,UFC 100,,"July 11, 2009"
102,2009-08-08,UFC 101: Declaration,UFC 101: Declaration,,"August 08, 2009"
103,2009-08-29,UFC 102: Couture vs. Nogueira,UFC 102: Couture vs. Nogueira,,"August 29, 2009"
104,2009-09-16,UFC Fight Night: Diaz vs. Guillard,UFC Fight Night: Diaz vs. Guillard,,"September 16, 2009"
105,2009-09-19,UFC 103: Franklin vs. Belfort,UFC 103: Franklin vs. Belfort,,"September 19, 2009"
106,2009-10-24,UFC 104: Machida vs. Shogun,UFC 104: Machida vs. Shogun,,"October 24, 2009"
107,2009-11-14,UFC 105: Couture vs. Vera,UFC 105: Couture vs. Vera,,"November 14, 2009"
108,2009-11-21,UFC 106: Ortiz vs. Griffin 2,UFC 106: Ortiz vs. Griffin 2,,"November 21, 2009"
109,2009-12-05,The Ultimate Fighter: Heavyweights Finale,The Ultimate Fighter: Heavyweights Finale,,"December 05, 2009"
110,2009-12-12,UFC 107: Penn vs. Sanchez,UFC 107: Penn vs. Sanchez,,"December 12, 2009"
111,2010-01-02,UFC 108: Evans vs. Silva,UFC 108: Evans vs. Silva,,"January 02, 2010"
112,2010-01-11,UFC Fight Night: Maynard vs. Diaz,UFC Fight Night: Maynard vs. Diaz,,"January 11, 2010"
113,2010-02-06,UFC 109: Relentless,UFC 109: Relentless,,"February 06, 2010"
114,2010-02-21,UFC 110: Nogueira vs. Velasquez,UFC 110: Nogueira vs. Velasquez,,"February 21, 2010"
115,2010-03-21,UFC Live: Vera vs. Jones,UFC Live: Vera vs. Jones,,"March 21, 2010"
116,2010-03-27,UFC 111: St-Pierre vs. Hardy,UFC 111: St-Pierre vs. Hardy,,"March 27, 2010"
117,2010-03-31,UFC Fight Night: Florian vs. Gomi,UFC Fight Night: Florian vs. Gomi,,"March 31, 2010"
118,2010-04-10,UFC 112: Invincible,UFC 112: Invincible,,"April 10, 2010"
119,2010-05-08,UFC 113: Machida vs. Shogun 2,UFC 113: Machida vs. Shogun 2,,"May 08, 2010"
120,2010-05-29,UFC 114: Rampage vs. Evans,UFC 114: Rampage vs. Evans,,"May 29, 2010"
121,2010-06-12,UFC 115: Liddell vs. Franklin,UFC 115: Liddell vs. Franklin,,"June 12, 2010"
122,2010-06-19,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,,"June 19, 2010"
123,2010-07-03,UFC 116: Lesnar vs. Carwin,UFC 116: Lesnar vs. Carwin,,"July 03, 2010"
124,2010-08-01,UFC Live: Jones vs. Matyushenko,UFC Live: Jones vs. Matyushenko,,"August 01, 2010"
125,2010-08-07,UFC 117: Silva vs. Sonnen,UFC 117: Silva vs. Sonnen,,"August 07, 2010"
126,2010-08-28,UFC 118: Edgar vs. Penn 2,UFC 118: Edgar vs. Penn 2,,"August 28, 2010"
127,2010-09-15,UFC Fight Night: Marquardt vs. Palhares,UFC Fight Night: Marquardt vs. Palhares,,"September 15, 2010"
128,2010-09-25,UFC 119: Mir vs. Cro Cop,UFC 119: Mir vs. Cro Cop,,"September 25, 2010"
129,2010-10-16,UFC 120: Bisping vs. Akiyama,UFC 120: Bisping vs. Akiyama,,"October 16, 2010"
130,2010-10-23,UFC 121: Lesnar vs. Velasquez,UFC 121: Lesnar vs. Velasquez,,"October 23, 2010"
131,2010-11-13,UFC 122: Marquardt vs. Okami,UFC 122: Marquardt vs. Okami,,"November 13, 2010"
132,2010-11-20,UFC 123: Rampage vs. Machida,UFC 123: Rampage vs. Machida,,"November 20, 2010"
133,2010-12-04,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,,"December 04, 2010"
134,2010-12-11,UFC 124: St-Pierre vs. Koscheck 2,UFC 124: St-Pierre vs. Koscheck 2,,"December 11, 2010"
135,2011-01-01,UFC 125: Resolution,UFC 125: Resolution,,"January 01, 2011"
